GHO,Indicator,PUBLISHSTATE,PUBLISH STATES,YEAR,Year,REGION,WHO region,COUNTRY,Country,SEX,Sex,Display Value,Numeric Value,Low Value,High Value,Comments
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AFR,Africa,AGO,Angola,MLE,Male,39,39,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AFR,Africa,AGO,Angola,FMLE,Female,43,43,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AFR,Africa,AGO,Angola,BTSX,Both sexes,41,41,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AFR,Africa,AGO,Angola,MLE,Male,44,44,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AFR,Africa,AGO,Angola,FMLE,Female,47,47,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AFR,Africa,AGO,Angola,BTSX,Both sexes,46,46,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AFR,Africa,AGO,Angola,MLE,Male,50,50,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AFR,Africa,AGO,Angola,FMLE,Female,53,53,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AFR,Africa,AGO,Angola,BTSX,Both sexes,51,51,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,69,69,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,71,71,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AMR,Americas,ATG,Antigua and Barbuda,BTSX,Both sexes,70,70,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,72,72,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,74,74,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,ATG,Antigua and Barbuda,BTSX,Both sexes,73,73,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,73,73,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,76,76,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AMR,Americas,ATG,Antigua and Barbuda,BTSX,Both sexes,75,75,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AMR,Americas,ARG,Argentina,MLE,Male,69,69,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AMR,Americas,ARG,Argentina,FMLE,Female,76,76,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AMR,Americas,ARG,Argentina,BTSX,Both sexes,73,73,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,ARG,Argentina,MLE,Male,71,71,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,ARG,Argentina,FMLE,Female,78,78,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,ARG,Argentina,BTSX,Both sexes,75,75,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AMR,Americas,ARG,Argentina,MLE,Male,72,72,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AMR,Americas,ARG,Argentina,FMLE,Female,79,79,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AMR,Americas,ARG,Argentina,BTSX,Both sexes,76,76,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,ARM,Armenia,MLE,Male,63,63,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,ARM,Armenia,FMLE,Female,71,71,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,ARM,Armenia,BTSX,Both sexes,67,67,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,ARM,Armenia,MLE,Male,68,68,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,ARM,Armenia,FMLE,Female,74,74,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,ARM,Armenia,BTSX,Both sexes,71,71,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EUR,Europe,ARM,Armenia,MLE,Male,67,67,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EUR,Europe,ARM,Armenia,FMLE,Female,75,75,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EUR,Europe,ARM,Armenia,BTSX,Both sexes,71,71,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,WPR,Western Pacific,AUS,Australia,MLE,Male,74,74,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,WPR,Western Pacific,AUS,Australia,FMLE,Female,80,80,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,WPR,Western Pacific,AUS,Australia,BTSX,Both sexes,77,77,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,WPR,Western Pacific,AUS,Australia,MLE,Male,77,77,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,WPR,Western Pacific,AUS,Australia,FMLE,Female,83,83,,,
